instance_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
25143.0,Highwayman,0.48,0.67,182653.0,0.351,0.0176,D,0.115,-16.842,Major,0.0463,101.384,4-Apr,0.45,Country
26091.0,Toes Across The Floor,0.243,0.452,187133.0,0.67,5.08e-05,A,0.108,-8.392000000000001,Minor,0.0352,113.071,4-Apr,0.539,Rock
87888.0,First Person on Earth,0.228,0.4539999999999999,173448.0,0.804,0.0,E,0.181,-5.225,Minor,0.371,80.98,4-Apr,0.344,Alternative
77021.0,No Te Veo - Digital Single,0.0558,0.847,255987.0,0.873,3.21e-06,G#,0.325,-4.805,Minor,0.0804,116.007,4-Apr,0.966,Hip-Hop
20852.0,Chasing Shadows,0.2269999999999999,0.742,195333.0,0.575,1.77e-06,C,0.176,-5.55,Major,0.0487,76.494,4-Apr,0.583,Alternative
43934.0,Eskimo Blue Day - Remastered,0.102,0.308,392893.0,0.59,0.371,D,0.1119999999999999,-11.703,Major,0.0345,145.75799999999998,4-Apr,0.496,Blues
23450.0,Living On My Own,0.000234,0.655,218267.0,0.687,2.3800000000000003e-05,A,0.0869,-11.789,Minor,0.0337,123.923,4-Apr,0.411,Rock
28380.0,Para Machuchar Meu Coracao,0.953,0.591,309813.0,0.109,0.357,D#,0.0921,-17.975,Major,0.0449,130.597,4-Apr,0.395,Jazz
70054.0,In the Mood,0.195,0.647,283373.0,0.595,0.000118,A#,0.129,-8.416,Minor,0.0336,73.47800000000001,4-Apr,0.546,Jazz
74815.0,20.000 Volts,0.0323,0.537,237000.0,0.962,0.193,C,0.158,-2.749,Major,0.121,160.031,4-Apr,0.43,Electronic
78664.0,Blessings,0.315,0.789,252040.0,0.621,0.0,A#,0.136,-7.685,Minor,0.283,118.891,4-Apr,0.158,Hip-Hop
43113.0,Up Above My Head,0.6759999999999999,0.585,159507.0,0.392,3.47e-05,F,0.0955,-8.855,Major,0.0335,84.96,4-Apr,0.598,Blues
59946.0,Witchy Woman - Eagles 2013 Remaster,0.364,0.555,250889.0,0.568,0.0016699999999999,D,0.1159999999999999,-12.205,Minor,0.0341,98.507,4-Apr,0.583,Rock
73565.0,Iwanakutemo Tsutawaru Arewa Sukoshi Usoda - All Time Best Version,0.11,0.47,-1.0,0.6409999999999999,0.0,F#,0.155,-7.454,Major,0.0658,86.387,4-Apr,0.638,Anime
37418.0,School - Remastered,1.28e-05,0.208,162147.0,0.964,0.256,E,0.0701,-6.398,Major,0.103,165.03799999999998,4-Apr,0.0954,Rock
85051.0,Let Go Today,0.182,0.84,182400.0,0.193,0.0,G#,0.173,-11.186,Major,0.0696,99.99,4-Apr,0.204,Alternative
90615.0,Flying Saucer,0.0251,0.485,248471.0,0.8420000000000001,0.000806,A,0.307,-6.617000000000001,Major,0.266,141.873,4-Apr,0.193,Electronic
76843.0,Muevelo,0.16,0.889,203442.0,0.835,3.06e-06,D#,0.0748,-7.311,Major,0.102,118.021,4-Apr,0.934,Rap
73394.0,Ill Ray (The King),0.00618,0.5539999999999999,219800.0,0.8490000000000001,0.0,F,0.305,-4.692,Minor,0.0548,135.999,4-Apr,0.511,Electronic
79662.0,That's What It's All About,0.0437,0.515,239853.0,0.901,1.7800000000000002e-05,A,0.0585,-3.063,Major,0.0384,118.378,4-Apr,0.289,Country
68899.0,LVL,0.18,0.595,220133.0,0.427,1.32e-05,F,0.121,-6.763999999999999,Minor,0.054,120.085,4-Apr,0.0994,Rap
86204.0,Rebels - G-REX Remix,0.0412,0.494,233600.0,0.939,4.78e-05,E,0.185,-4.757,Major,0.648,74.471,4-Apr,0.0502,Electronic
29407.0,Still Don't Give A Fuck,0.107,0.693,252707.0,0.856,0.0,E,0.355,-4.045,Minor,0.3779999999999999,89.899,4-Apr,0.607,Rap
79532.0,Kindhearted Woman Blues,0.855,0.586,207600.0,0.1119999999999999,0.0006129999999999,F,0.138,-12.739,Major,0.0394,112.389,3-Apr,0.387,Blues
68546.0,Stroker's Theme,0.17,0.6809999999999999,169440.0,0.612,2.23e-06,G#,0.0571,-10.02,Major,0.0472,125.787,4-Apr,0.541,Country
32834.0,X (with 2 Chainz & Saudi),0.0201,0.768,267427.0,0.471,0.0,D,0.268,-8.406,Major,0.259,131.023,4-Apr,0.405,Hip-Hop
87453.0,"Serenade in B flat, K.361 ""Gran partita"": 3. Adagio",0.991,0.154,-1.0,0.0384,0.902,,0.109,-26.909,Major,0.0405,68.199,4-Apr,0.0393,Classical
72660.0,Samba Tranquille,0.318,0.628,186493.0,0.569,0.921,A,0.0877,-9.808,Minor,0.0762,197.955,4-Apr,0.485,Electronic
57977.0,Real,0.0786,0.5329999999999999,214693.0,0.757,0.0,G,0.33,-8.798,Major,0.522,88.60700000000001,4-Apr,0.563,Alternative
63031.0,Money Don’t Change You,0.0523,0.767,157037.0,0.601,0.155,F,0.165,-8.033,Minor,0.1639999999999999,163.037,4-Apr,0.292,Hip-Hop
54335.0,Flare Guns,0.26,0.812,240013.0,0.472,0.0,C#,0.285,-6.806,Minor,0.0603,92.951,4-Apr,0.457,Rap
27359.0,Let Your Love Flow,0.0611,0.679,198760.0,0.5529999999999999,7.16e-06,D#,0.139,-14.687,Major,0.0316,109.071,4-Apr,0.946,Rock
72337.0,Wade in the Water - Live,0.773,0.5589999999999999,504760.0,0.267,0.0045899999999999,D,0.959,-16.616,Major,0.155,117.832,4-Apr,0.282,Blues
40104.0,Country Boy's World,0.0696,0.5660000000000001,246533.0,0.7190000000000001,0.0,G,0.103,-5.02,Major,0.0324,148.125,4-Apr,0.4479999999999999,Country
58104.0,Life Is Confusing,0.955,0.373,171413.0,0.216,0.00105,C#,0.0739,-11.41,Major,0.0326,129.03,4-Apr,0.496,Country
76827.0,Flodgin,0.0848,0.748,-1.0,0.7120000000000001,0.0,D,0.132,-5.651,Major,0.143,140.055,4-Apr,0.18,Rap
80933.0,Dreaming with My Eyes Open,0.1169999999999999,0.49,210133.0,0.843,1.28e-05,F#,0.184,-9.286,Major,0.0364,173.761,4-Apr,0.8009999999999999,Country
81776.0,Starfruit LA,0.5529999999999999,0.415,243692.0,0.401,1.6899999999999997e-05,G,0.361,-10.066,Major,0.0623,102.923,3-Apr,0.171,Alternative
67888.0,The Game,0.0001409999999999,0.628,226893.0,0.95,0.00516,G#,0.151,-3.02,Major,0.0559,132.001,4-Apr,0.563,Alternative
50569.0,No Less,0.5660000000000001,0.632,250640.0,0.49,0.0,B,0.0985,-7.386,Minor,0.286,93.979,4-Apr,0.178,Rap
55145.0,Down to Mexico,0.0007559999999999,0.406,210827.0,0.944,0.00887,D,0.349,-5.142,Minor,0.0734,140.07399999999998,4-Apr,0.638,Classical
56191.0,Just A Friend,0.12,0.862,238267.0,0.6629999999999999,0.0,C,0.318,-9.004,Major,0.21,85.30799999999999,4-Apr,0.8370000000000001,Hip-Hop
40148.0,Lost in the Supermarket,0.0568,0.608,226947.0,0.634,0.0056799999999999,E,0.1159999999999999,-11.24,Major,0.0725,147.514,4-Apr,0.841,Rock
85281.0,Boys Life,0.00727,0.5820000000000001,302120.0,0.7340000000000001,0.2019999999999999,F#,0.76,-6.987,Minor,0.0675,127.071,4-Apr,0.644,Alternative
76938.0,Little L,0.168,0.878,295400.0,0.7240000000000001,0.0116,A#,0.133,-5.372999999999999,Minor,0.129,121.906,4-Apr,0.904,Electronic
76519.0,Loving Cup,0.176,0.188,367773.0,0.939,6.06e-05,G,0.902,-4.398,Major,0.0747,163.556,4-Apr,0.521,Blues
69814.0,4 Me,0.331,0.369,228187.0,0.444,0.0,A#,0.152,-10.074,Minor,0.2319999999999999,89.572,5-Apr,0.385,Rap
87403.0,The Messiah Will Come Again,0.736,0.437,355400.0,0.142,0.6509999999999999,A,0.1159999999999999,-17.438,Minor,0.0329,94.615,4-Apr,0.0684,Blues
71647.0,Seisyunhanamichi,0.119,0.55,244600.0,0.898,0.0,F,0.0596,-4.273,Minor,0.067,152.007,4-Apr,0.82,Anime
87796.0,Star67,0.747,0.478,294973.0,0.395,4.73e-06,,0.264,-7.917000000000001,Major,0.213,74.515,3-Apr,0.17,Hip-Hop
43888.0,Things My Father Said,0.054,0.482,-1.0,0.627,2.99e-06,D,0.111,-5.779,Major,0.03,95.903,4-Apr,0.17,Alternative
63947.0,Away From The Sun,0.0273,0.532,231787.0,0.6859999999999999,0.0,C,0.0903,-6.238,Major,0.0254,131.96200000000002,4-Apr,0.304,Alternative
69792.0,Latinoamérica,0.59,0.691,301427.0,0.805,0.0,D,0.0975,-6.81,Minor,0.0947,142.503,3-Apr,0.866,Alternative
38505.0,What U Workin' With?,0.0121,0.753,192240.0,0.626,0.000159,B,0.127,-7.995,Minor,0.142,103.927,4-Apr,0.7070000000000001,Rock
69272.0,You Won't Find This,0.427,0.4579999999999999,199840.0,0.7170000000000001,0.0,F,0.0887,-3.595,Major,0.0415,153.047,4-Apr,0.436,Country
39574.0,"Fidelio, Op. 72, Act I: Ha! Welch ein Augenblick! (Live)",0.909,0.374,-1.0,0.2269999999999999,6.9e-05,A#,0.6859999999999999,-18.719,Major,0.0579,78.236,4-Apr,0.264,Classical
79571.0,Anywhere - Felix Cartal Remix,0.0291,0.659,223333.0,0.7809999999999999,4.92e-05,F,0.186,-4.422,Major,0.0527,124.014,4-Apr,0.285,Electronic
47950.0,I don't know,0.0057,0.524,273625.0,0.8140000000000001,0.0,F,0.141,-4.275,Major,0.0399,125.998,4-Apr,0.5710000000000001,Anime
26893.0,Brush The Heat,0.00936,0.726,250000.0,0.703,0.114,A,0.113,-6.965,Minor,0.0499,120.954,4-Apr,0.434,Electronic
42479.0,American Grown,0.0481,0.615,-1.0,0.779,0.0,C,0.23,-9.577,Major,0.0832,147.987,4-Apr,0.899,Country
69398.0,Sleep On The Floor,0.249,0.389,211851.0,0.431,0.0,,0.13,-8.061,Major,0.0344,142.14,4-Apr,0.275,Rock
44691.0,This Train is Bound for Glory,0.158,0.392,-1.0,0.942,4.48e-05,A,0.802,-8.62,Major,0.5589999999999999,174.31099999999998,4-Apr,0.5820000000000001,Alternative
87138.0,Energy,0.4679999999999999,0.795,195320.0,0.8109999999999999,0.0,C#,0.0907,-4.376,Major,0.157,142.974,4-Apr,0.451,Rap
45966.0,Back Door Man,0.287,0.476,212427.0,0.612,0.000252,A,0.0877,-7.01,Major,0.0335,,4-Apr,0.909,Rock
48687.0,"Rusalka, Op. 114, B. 203, Act I: Čury mury fuk (Live)",0.98,0.3989999999999999,228907.0,0.0637,0.000298,F#,0.0667,-23.868,Major,0.0498,120.086,3-Apr,0.0862,Classical
26576.0,Once In A Lifetime,3.18e-05,0.242,466733.0,0.92,0.0126,C#,0.327,-5.93,Minor,0.0773,200.018,4-Apr,0.24,Classical
56339.0,Fuck It Up,0.18,0.552,188909.0,0.6859999999999999,0.00461,G#,0.3279999999999999,-9.409,Major,0.1119999999999999,131.66299999999998,4-Apr,0.347,Electronic
49783.0,Why You Always Hatin?,0.0392,0.926,196600.0,0.336,0.0,C,0.138,-9.326,Minor,0.594,92.995,4-Apr,0.38,Rap
84630.0,Try Me,0.622,0.466,-1.0,0.672,0.00108,G#,0.147,-5.777,Minor,0.068,91.673,4-Apr,0.108,Rap
75557.0,Another Level,0.145,0.73,199187.0,0.899,0.0,A,0.159,-4.427,Major,0.0866,127.996,4-Apr,0.753,Rap
45948.0,Drunk and Hot Girls,0.0564,0.662,-1.0,0.4429999999999999,1.3800000000000002e-05,A#,0.15,-7.31,Minor,0.0307,82.787,3-Apr,0.285,Rap
34935.0,Intro To Finale And Closing Music,0.0028699999999999,0.315,102853.0,0.675,0.856,E,0.3329999999999999,-7.922000000000001,Minor,0.0386,119.823,3-Apr,0.0687,Anime
36188.0,Polarized,0.0003549999999999,0.513,255181.0,0.746,0.000236,D#,0.113,-5.524,Minor,0.0427,128.00799999999998,4-Apr,0.442,Electronic
51786.0,"Is You Is, Or Is You Ain't (My Baby)",0.607,0.634,201827.0,0.409,0.0,G#,0.188,-9.236,Major,0.0647,83.413,4-Apr,0.733,Blues
78273.0,Too Young,0.0625,0.622,197973.0,0.75,0.000133,A,0.127,-6.367000000000001,Minor,0.0445,141.32399999999998,4-Apr,0.905,Alternative
20134.0,Rogue,0.0145,0.58,201694.0,0.72,0.598,,0.281,-5.541,Major,0.0638,143.816,4-Apr,0.16,Electronic
49839.0,Addicted To Power,0.0909,0.825,150973.0,0.7879999999999999,0.0,B,0.0951,-6.805,Major,0.222,139.928,4-Apr,0.599,Hip-Hop
76405.0,Stone Crazy,0.847,0.4529999999999999,433307.0,0.675,0.00243,D,0.211,-4.947,Major,0.141,172.737,3-Apr,0.54,Blues
66699.0,Feel and Think,5.56e-05,0.419,241000.0,0.964,0.0,D,0.0982,-3.0980000000000003,Major,0.124,189.903,4-Apr,0.669,Anime
67167.0,Never Trust A Woman,0.4579999999999999,0.561,156307.0,0.469,0.0,D#,0.124,-8.311,Major,0.0864,134.13299999999998,3-Apr,0.716,Blues
54120.0,1 of those Weaks,0.319,0.68,194333.0,0.602,0.000344,D,0.103,-6.875,Major,0.198,82.538,4-Apr,0.313,Alternative
64005.0,"Symphony No. 8 in E-Flat Major - ""Symphony of a Thousand"" / Pt. 2: ""Bei der Liebe, die den Fussen""",0.988,0.252,-1.0,0.102,0.00605,G,0.422,-20.824,Minor,0.0483,77.77600000000001,4-Apr,0.0875,Classical
22557.0,Door to Door Cannibals,5e-05,0.496,275600.0,0.825,0.759,G,0.0379,-4.445,Major,0.0631,147.158,4-Apr,0.5820000000000001,Alternative
72144.0,Hustlin',0.0898,0.505,254093.0,0.657,0.0,A,0.0606,-7.254,Major,0.288,135.995,4-Apr,0.6659999999999999,Hip-Hop
35590.0,I Don't Know,0.0306,0.8240000000000001,219707.0,0.667,0.0292,B,0.19,-5.257999999999999,Minor,0.0439,106.989,4-Apr,0.483,Electronic
90217.0,familia,5.9e-05,0.489,269000.0,0.947,0.0,C#,0.113,-3.925,Minor,0.0419,,4-Apr,0.517,Anime
85847.0,Tuesday,0.39,0.5820000000000001,196344.0,0.804,0.0,G#,0.208,-3.766,Major,0.0365,126.965,4-Apr,0.528,Rock
68198.0,Panama,0.298,0.615,198547.0,0.7240000000000001,0.4589999999999999,F,0.211,-8.583,Major,0.0306,97.728,4-Apr,0.449,Rock
54977.0,The Pressure,0.00166,0.588,-1.0,0.65,1.09e-06,C,0.1989999999999999,-4.593,Major,0.0257,117.999,4-Apr,0.183,Rock
59607.0,The Shooting Star,0.00158,0.497,342347.0,0.8440000000000001,0.0854,D,0.155,-5.055,Minor,0.0346,126.137,4-Apr,0.32,Alternative
80943.0,ハイキュー!!,0.02,0.5670000000000001,234360.0,0.585,0.87,C,0.0679,-10.229,Major,0.0273,134.972,4-Apr,0.371,Anime
84270.0,Post To Be (feat. Chris Brown & Jhene Aiko),0.0697,0.733,226581.0,0.6759999999999999,0.0,A#,0.208,-5.655,Minor,0.0432,97.448,4-Apr,0.701,Rap
21625.0,Sangatsu Ga Zutto Tsuzukebaii,0.0209,0.654,237413.0,0.938,0.0,G,0.0618,-3.249,Minor,0.0964,138.005,4-Apr,0.8809999999999999,Anime
56976.0,Eye 2 Eye,0.00125,0.8109999999999999,190679.0,0.65,0.0,D,0.102,-4.41,Major,0.128,146.028,4-Apr,0.179,Rap
20622.0,Till It's Gone,0.466,0.523,275547.0,0.7140000000000001,0.00359,E,0.113,-7.552,Minor,0.0683,128.968,4-Apr,0.359,Rap
91091.0,In a mellow tone,0.863,0.841,187613.0,0.272,0.0176,C,0.104,-15.518,Major,0.0366,115.954,4-Apr,0.509,Jazz
63867.0,"Clarinet Concerto No. 1 in F Minor, Op. 73, J. 114: III. Rondo. Allegretto",0.973,0.416,401000.0,0.0735,0.71,F,0.0781,-20.723000000000003,,0.0411,112.006,4-Apr,0.222,Classical
39668.0,I cry,0.38,0.732,259976.0,0.312,0.0159,A#,0.139,-17.175,Major,0.0704,119.941,4-Apr,0.297,Electronic
68472.0,Butcher Pete (Part 1),0.82,0.727,148467.0,0.9,6.74e-05,D#,0.262,-4.1,Minor,0.13,92.087,4-Apr,0.866,Blues
54390.0,Nobody Knows You When You're Down and Out,0.996,0.603,176800.0,0.0443,0.0036799999999999,E,0.177,-12.054,Major,0.0665,66.082,3-Apr,0.233,Jazz
78687.0,Until The Colours Come,0.8370000000000001,0.366,67316.0,0.6990000000000001,0.586,A,0.135,-8.137,Minor,0.0481,90.986,4-Apr,0.0393,Electronic
32729.0,Lydian,0.283,0.6779999999999999,391360.0,0.619,0.731,C,0.0549,-10.824000000000002,Major,0.0425,113.867,4-Apr,0.492,Jazz
51789.0,To Love Somebody,0.462,0.507,312633.0,0.332,0.000977,B,0.222,-10.725,Minor,0.0706,124.887,4-Apr,0.342,Blues
79946.0,Send Me Some Lovin',0.551,0.495,135600.0,0.165,0.0060799999999999,A#,0.268,-18.752,Major,0.0463,181.027,3-Apr,0.6829999999999999,Blues
54759.0,ナウシカ・レクイエム(風の谷のナウシカより),0.979,0.367,196680.0,0.111,0.0295,F,0.105,-14.49,Minor,0.0519,68.155,4-Apr,0.205,Anime
36240.0,メルシー,0.0702,0.513,199189.0,0.964,0.0,F,0.286,-4.521,Minor,0.1689999999999999,95.542,4-Apr,0.579,Anime
